make,price,horsepower,curb_weight,highway_mpg
audi,13950,102,2337,30
audi,17450,115,2824,22
audi,17710,110,2844,25
audi,23875,140,3086,20
bmw,16430,101,2395,29
bmw,16925,101,2395,29
bmw,20970,121,2710,28
bmw,21105,121,2765,28
chevrolet,5151,48,1488,53
chevrolet,6295,70,1874,43
chevrolet,6575,70,1909,43
dodge,5572,68,1876,41
dodge,6377,68,1876,38
dodge,7957,102,2128,30
dodge,6229,68,1967,38
dodge,6692,68,1989,38
dodge,7609,68,1989,38
dodge,8558,102,2191,30
dodge,8921,88,2535,30
dodge,12964,145,2811,24
honda,6479,58,1713,54
honda,6855,76,1819,38
honda,5399,60,1837,42
honda,6529,76,1940,34
honda,7129,76,1956,34
honda,7295,76,2010,34
honda,7295,76,2024,34
honda,7895,86,2236,33
honda,9095,86,2289,33
honda,8845,86,2304,33
honda,10295,86,2372,33
honda,12945,101,2465,28
honda,10345,100,2293,31
jaguar,32250,176,4066,19
mazda,5195,68,1890,31
mazda,6095,68,1900,38
mazda,6795,68,1905,38
mazda,6695,68,1945,38
mazda,7395,68,1950,38
mazda,8845,84,2385,32
mazda,8495,84,2410,32
mazda,10595,84,2385,32
mazda,10245,84,2410,32
mazda,11245,84,2425,32
mazda,18280,120,2670,27
mercedes-benz,25552,123,3515,25
mercedes-benz,28248,123,3750,25
mercedes-benz,28176,123,3495,25
mercedes-benz,31600,123,3770,25
mercedes-benz,35056,155,3685,18
mitsubishi,5389,68,1918,41
mitsubishi,6189,68,1944,38
mitsubishi,6669,68,2004,38
mitsubishi,7689,102,2145,30
mitsubishi,9959,116,2370,30
mitsubishi,8499,88,2328,32
mitsubishi,6989,88,2365,32
mitsubishi,8189,88,2405,32
mitsubishi,9279,116,2403,30
mitsubishi,9279,116,2403,30
nissan,5499,69,1889,37
nissan,7099,55,2017,50
nissan,6649,69,1918,37
nissan,6849,69,1938,37
nissan,7349,69,2024,37
nissan,7299,69,1951,37
nissan,7799,69,2028,37
nissan,7499,69,1971,37
nissan,7999,69,2037,37
nissan,8249,69,2008,37
nissan,8949,97,2324,34
nissan,9549,97,2302,34
nissan,13499,152,3095,22
nissan,14399,152,3296,22
nissan,13499,152,3060,25
nissan,17199,160,3071,25
nissan,19699,200,3139,23
nissan,18399,160,3139,25
peugot,11900,97,3020,24
peugot,13200,95,3197,33
peugot,15580,95,3075,24
peugot,16900,95,3252,33
peugot,16630,97,3075,24
peugot,17950,95,3252,33
peugot,18150,142,3130,24
plymouth,5572,68,1918,41
plymouth,7957,102,2128,30
plymouth,6229,68,1967,38
plymouth,6692,68,1989,38
plymouth,7609,68,2191,38
plymouth,8921,88,2535,30
porsche,22018,143,2778,27
saab,11850,110,2658,28
saab,12170,110,2695,28
saab,15040,110,2707,28
saab,15510,110,2758,28
saab,18150,160,2808,26
saab,18620,160,2847,26
subaru,5118,69,2050,36
subaru,7053,73,2120,31
subaru,7603,73,2240,31
subaru,7126,82,2145,37
subaru,7775,82,2190,33
subaru,9960,94,2340,32
subaru,9233,82,2385,25
subaru,11259,111,2510,29
subaru,7463,82,2290,32
subaru,10198,94,2455,31
subaru,8013,82,2420,29
subaru,11694,111,2650,23
toyota,5348,62,1985,39
toyota,6338,62,2040,38
toyota,6488,62,2015,38
toyota,6918,62,2280,37
toyota,7898,62,2290,32
toyota,8778,62,3110,32
toyota,6938,70,2081,37
toyota,7198,70,2109,37
toyota,7898,56,2275,36
toyota,7788,56,2275,47
toyota,7738,70,2094,47
toyota,8358,70,2122,34
toyota,9258,70,2140,34
toyota,8058,70,2169,34
toyota,8238,70,2204,34
toyota,9298,112,2265,29
toyota,9538,112,2300,29
toyota,8449,116,2540,30
toyota,9639,116,2536,30
toyota,9989,116,2551,30
toyota,11199,116,2679,30
toyota,11549,116,2714,30
toyota,17669,116,2975,30
toyota,8948,92,2326,34
toyota,10698,73,2480,33
toyota,9988,92,2414,32
toyota,10898,92,2414,32
toyota,11248,92,2458,32
toyota,16558,161,2976,24
toyota,15998,161,3016,24
toyota,15690,156,3131,24
volkswagen,7775,52,2261,46
volkswagen,7975,85,2209,34
volkswagen,7995,52,2264,46
volkswagen,8195,85,2212,34
volkswagen,8495,85,2275,34
volkswagen,9495,68,2319,42
volkswagen,9995,100,2300,32
volkswagen,9980,90,2221,29
volvo,12940,114,2912,28
volvo,13415,114,3034,28
volvo,15985,114,2935,28
volvo,16515,114,3042,28
volvo,18420,162,3045,22
volvo,18950,162,3157,22
volvo,16845,114,2952,28
volvo,19045,160,3049,25
volvo,21485,134,3012,23
volvo,22470,106,3217,27
volvo,22625,114,3062,25
